"","Day","Number","Full Name","Pos.","Ht.","Wt.","Class","Hometown","High School","Previous School","Twitter","Instagram","NIL"
"46",45,45,"=HYPERLINK(""https://broncosports.com/sports/football/roster/troy-grizzle/14218"",""Troy Grizzle"")","TE","6' 3''","246","R-So.","Meridian, Idaho","Mountain View HS","","=HYPERLINK(""https://twitter.com/troy_grizzle"",""@troy_grizzle"")","=HYPERLINK(""https://instagram.com/t_grizz88"",""@t_grizz88"")",""
"47",46,46,"=HYPERLINK(""https://broncosports.com/sports/football/roster/carter-kuchenbuch/14317"",""Carter Kuchenbuch"")","TE","6' 5''","238","R-Fr.","Okanogan, Wash.","Okanogan HS","","=HYPERLINK(""https://twitter.com/CarterKook"",""@CarterKook"")","=HYPERLINK(""https://instagram.com/carterkook"",""@carterkook"")",""
"48",47,47,"=HYPERLINK(""https://broncosports.com/sports/football/roster/kaden-anderson/14188"",""Kaden Anderson"")","TE","6' 3''","232","R-So.","Chandler, Ariz.","Chandler HS","","=HYPERLINK(""https://twitter.com/KAndersonWR2024"",""@KAndersonWR2024"")","=HYPERLINK(""https://instagram.com/official_kadenanderson"",""@official_kadenanderson"")","kaden-anderson"
"49",48,48,"=HYPERLINK(""https://broncosports.com/sports/football/roster/canaan-moore/14243"",""Canaan Moore"")","K","5' 11''","170","R-Fr.","Vancouver, Wash.","Union HS","","=HYPERLINK(""https://twitter.com/Canaan_Moore6"",""@Canaan_Moore6"")","=HYPERLINK(""https://instagram.com/canaan.moore6"",""@canaan.moore6"")",""
"50",49,49,"=HYPERLINK(""https://broncosports.com/sports/football/roster/aj-maes/14233"",""AJ Maes"")","WR","6' 3''","197","R-Jr.","Palos Verdes, Calif.","Peninsula HS","","=HYPERLINK(""https://twitter.com/Anthony_Maes1"",""@Anthony_Maes1"")","=HYPERLINK(""https://instagram.com/aj_maes"",""@aj_maes"")","aj-maes"
"51",50,50,"=HYPERLINK(""https://broncosports.com/sports/football/roster/jaden-williams/14363"",""Jaden Williams"")","EDGE","6' 3''","245","R-Fr.","Mission Viejo, Calif.","Mission Viejo HS","","=HYPERLINK(""https://twitter.com/JadenWilliams_5"",""@JadenWilliams_5"")","=HYPERLINK(""https://instagram.com/jaden._.williams5"",""@jaden._.williams5"")",""
"52",51,51,"=HYPERLINK(""https://broncosports.com/sports/football/roster/roman-caywood/14292"",""Roman Caywood"")","EDGE","6' 3''","240","R-So.","Draper, Utah","Corner Canyon HS","","=HYPERLINK(""https://twitter.com/CaywoodRoman"",""@CaywoodRoman"")","=HYPERLINK(""https://instagram.com/rcaywood0"",""@rcaywood0"")","roman-caywood"
"53",52,52,"=HYPERLINK(""https://broncosports.com/sports/football/roster/stewart-taufa/14350"",""Stewart Taufa"")","OL","6' 1''","302","R-Fr.","St. George, Utah","Bishop Gorman HS","","=HYPERLINK(""https://twitter.com/Stu_Taufa"",""@Stu_Taufa"")","=HYPERLINK(""https://instagram.com/stu_taufa"",""@stu_taufa"")",""
"54",53,53,"=HYPERLINK(""https://broncosports.com/sports/football/roster/ty-tanner/14406"",""Ty Tanner"")","LB","6' 1''","225","R-So.","Meridian, Idaho","Rocky Mountain HS","","=HYPERLINK(""https://twitter.com/tytanner8"",""@tytanner8"")","=HYPERLINK(""https://instagram.com/tytanner8"",""@tytanner8"")",""
"55",54,23,"=HYPERLINK(""https://broncosports.com/sports/football/roster/davin-hill/14379"",""Davin Hill"")","DB","5' 10''","179","Fr.","Arlington, Texas","Mansfield Timberview HS","","=HYPERLINK(""https://twitter.com/DavoXisland2108"",""@DavoXisland2108"")","=HYPERLINK(""https://instagram.com/dav0.island"",""@dav0.island"")",""
